"customer_number","customer_name","address_1","ppc_phone","pricing_tier","ppc_extension"
"172695","Payne Chevrolet","2807 Memorial Blvd","","R",""
"176777","Jones Chevrolet","515 S Broad St","","R",""
"185916","McDaniel GM","1065 Mount Vernon Ave","","R",""
"185929","McDaniel Toyota","1111 Mount Vernon Ave","","R",""
"194574","Lexus of Dayton","8111 Yankee St","","R",""
"199488","Glenbrook Hyundai ","4801 Coldwater Rd","","R",""
"214256","Knoepfler Chevrolet","100 Jackson St","","R",""
"216973","Ernie Von Schledorn Saukville","805 E Green Bay Ave","","R",""
"221562","Sedlak Chevrolet Buick","8240 HWY 51 South","","R",""
"223967","Lexus of Maplewood","3000 Highway 61 North","","R",""
"226112","Kolar Auto World","4781 Miller Trunk Hwy","","R",""
"229635","Toyota of the Black Hills","1920 East Mall Drive","","R",""
"229713","Rapid Chevrolet","2323 E. Mall Dr.","","R",""
"232443","Eisinger Honda","2545 Highway 93 North","","R",""
"232456","Green Hyundai","2030 Highway 2 East","","R",""
"232495","Chase Motors","301 Mineral Ave","","R",""
"237890","McGrath Lexus of Chicago","1250 W Division St","","R",""
"238982","Fairway Ford Lincoln Mercury","555 W Meadows Dr","","R",""
"241777","Roberts Motors","4350 Alby St","","R",""
"242739","Shottenkirk Chevrolet of Quincy","1537 N 24th St","","R",""
"242778","Dene Lambkin Honda","221 N 36th St","","R",""
"252021","Parks Motors of Augusta","11987 SW Hwy 54","","R",""
"252034","Eddy's Ford of Augusta","10004 SW HWY 54","","R",""
"252359","Mel Hambelton Ford ","11771 West Kellogg","","R",""
"252385","Eddy's Toyota","7333 East Kellogg Drive","","R",""
"253698","Honda Cars of Bellevue","510 Fort Crook Rd N","","R",""
"253711","Todd Archer Hyundai","1203 Fort Crook Rd N","","R",""
"253828","Sid Dillon Chevrolet - Fremont","2500 E 23rd","","R",""
"254283","Beatrice Ford Lincoln Mercury","4115 N 6th St","","R",""
"254686","Lincoln Mitsubishi","3330 Superior St","","R",""
"259704","Hixson Autoplex of Alexandria","2506 MacArthur Drive","","R",""
"262252","Jayson Jones Ford","1810 Highway 25B North","","R",""
"263461","Fowler Toyota","4050  N. Interstate  Dr","","R",""
"264059","Hudiburg Nissan","200 East I-240","","R",""
"264137","Toyota of Ardmore","402 Holiday Drive","","R",""
"264735","Northcutt Toyota","3409 W. Garriott Road","","R",""
"269493","Classic Tyler Motors","1717 West Sw Loop 323","","R",""
"272184","Jim Hoffpauir Inc","802 N Key Ave","","R",""
"275356","Cook Ford","2600 Palmer Highway","","R",""
"275954","Tegeler Toyota","300 Highway 290 W","","R",""
"276162","Victory Buick GMC","4702 N Navarro St","","R",""
"276916","Cavender Fiat","15670 IH 35 N","","R",""
"278125","Clark Knapp Honda","900 N Sugar Rd","","R",""
"279594","Covert Cadillac","11750 Research Blvd","","R",""
"279737","Regency Chevrolet ","825 E Main St","","R",""
"280322","Street Toyota","4500 South Soncy","","R",""
"281648","Crawford Buick GMC","6800 Montana Avenue","","R",""
"282116","Sill Terhar Ford","150 Alter St","","R",""
"283078","Valley Chrysler Dodge Plymouth","2100 30th St","","R",""
"283442","Co's BMW Center","4150 Byrd Drive","","R",""
"284014","Heuberger Motors Inc","1080 Motor City Dr","","R",""
"284131","Red Noland Pre Owned Center","1260 Motor City Dr","","R",""
"284144","Red Noland Cadillac","990 Motor City Dr","","R",""
"284274","Ferguson Pontiac Buick GMC","950 S Academy Blvd","","R",""
"284417","Wilcoxson Buick Cadillac GMC","902 N Santa Fe Ave","","R",""
"287134","Volkswagen Audi Boise","8400 Franklin Road","","R",""
"287199","Knudtsen Chevrolet ","1900 E Polston Ave","","R",""
"287654","Ed Kenley Ford","1888 N Main St","","R",""
"288161","Larry H Miller Lexus","5701 S State St","","R",""
"288720","Westland Ford","3450 Wall Ave","","R",""
"288954","Droubay Chevrolet","348 W Main St","","R",""
"289877","Pinnacle Nissan ","7601 E Frank Lloyd Wright Blvd","","R",""
"290176","Gateway Chevrolet","9901 W. Papago Freeway","","R",""
"290189","Yates Buick GMC ","13845 W. Test Dr","","R",""
"291502","Anderson Chrysler Dodge","3920 N. Highway 95","","R",""
"292165","Advantage Dodge Chrysler","3200 E Main St","","R",""
"292386","Premier Motorcars of Santa Fe","4480 Cerrillos Road","","R",""
"292529","Phil Long Ford","246 Clark Street","","R",""
"292698","Sisbarro Auto Group","425 West Boutz","","R",""
"292750","Sisbarro Superstore","4211 Highway 549 NE","","R",""
"293283","Henderson Hyundai Superstore","460 N Boulder Hwy","","R",""
"293673","Findlay Lincoln","310 North Gibson Road","","R",""
"293998","Jim Marsh Automotive","8555 Centennial Pkwy","","R",""
"294245","Lexus of Reno","3225 Mill St.","","R",""
"294297","Reno Kia Mazda","9475 South Virginia Street","","R",""
"294323","Reno Toyota","2100 Kietzke Ln","","R",""
"294505","Michael Hohl Chevy GMC Cadillac Buick","3700 S Carson St","","R",""
"294999","Culver City Volvo","11201 W. Washington Blvd.","","R",""
"298184","Puente Hills Mitsubishi","17665 Castleton St","","R",""
"299172","Lexus Carlsbad","5444 Paseo Del Norte","","R",""
"300368","Larry Green Auto Ctr Blythe","350 S Broadway","","R",""
"300667","BMW of Palm Springs","3737 E Palm Canyon Dr","","R",""
"301226","Nissan of San Bernardino","735 Showcase Drive South","","R",""
"303150","Crown Dodge Chrysler Jeep RAM","6300 King Street","","R",""
"303579","Santa Barbara Volkswagen","630 Chapala St","","R",""
"313654","Cutter Chevrolet","711 Ala Moana Blvd.","","R",""
"314629","Dick's Country Dodge Chrysler","767 SW Baseline Road","","R",""
"314642","Dick's MacKenzie Ford","4151 SE Tualatin Valley Hwy","","R",""
"314772","Larsen Motor Co","830 North Hwy 99W","","R",""
"315318","Landmark Ford","12000 SW 66th","","R",""
"315695","Kiefer Nissan Volvo of Corvallis","900 NW 4th St","","R",""
"315734","Joe Hayward Ford","201 NE Polk Station Road","","R",""
"316527","Airport Chevrolet Buick GMC Cadillac","3001 Biddle Rd","","R",""
"316553","Southern Oregon Subaru Volvo Mitsubishi","3103 Biddle Rd","","R",""
"316579","TC Chevy","2045 Highway 99 N","","R",""
"316683","Cascade Auto Group","2810 Washburn Way","","R",""
"317099","Swain Motors","80406 Hwy 395 N","","R",""
"317476","Lexus of Bellevue","101 116th Ave SE ","","R",""
"317788","Honda of Kirkland","12420 N.E. 85th St","","R",""
"318685","Acura of Seattle","301 Baker Blvd","","R",""
"319179","Marysville Ford","3520 136th St NE","","R",""
"319244","Blade Chevrolet","1100 Freeway Dr","","R",""
"321207","George Gee Buick GMC ","21502 E Georgee Ave.","","R",""
"321792","Overturf Motors","1016 W Columbia Dr","","R",""
"321948","Cal Worthington Ford","1950 Gambell St","","R",""
"323066","AutoFair Hyundai","1477 South Willow Street","","R",""
"323333","Ed Morse Delray Toyota Scion","2800 S. Federal Highway","","R",""
"323355","Ray Catena Mercedes Benz","910 Route 1","","R",""
"323573","Devan Infiniti of Fairfield","26 Commerce Drive","","R",""
"323716","Volvo of Tacoma","1602 40th Ave Court East","","R",""
"323821","Anderson Toyota ","6510 Showplace Ave","","R",""
"323833","Smith Motor Sales","420 River Street","","R",""
"324090","Baker Cadillac","495 Main Street","","R",""
"324471","Bill Cole Auto Mall","Route 460 Green Valley","","R",""
"324597","Valley Buick GMC","3104 Auburn Way","","R",""
"324705","Rick Case Hyundai Roswell","11446 Alpharetta Highway","","R",""
"324707","Rick Case Acura","875 N. State Rd. 7","","R",""
"324748","Rick Case Hyundai of Cleveland","19991 Villaview Road","","R",""
"324820","Royal Buick GMC Cadillac","815 West Auto Mall Drive","","R",""
"324903","Kuni Lexus of Colorado Springs","604 Auto Heights","","R",""
"324939","Freehold Dodge Subaru","299 South Street","","R",""
"325057","Mercedes Benz of Palm Springs","4095 East Palm Canyon Drive","","R",""
"325117","Weston Kia","22309 SE Stark Street","","R",""
"325124","Glendale Hyundai","411 South Brand Blvd.","","R",""
"325187","Geweke Ford","871 East Onstott Rd","","R",""
"325270","RC Lacy Inc","Rte 9W 25 Maple Ave ","","R",""
"325344","Dick Smith Hyundai Mitsubishi of Greenville","825 B Congaree Rd.","","R",""
"325610","Lyle Pearson Acura","351 Auto Drive","","R",""
"325685","Toyota of Turnersville","3400 Route 42","","R",""
"325688","Vern Eide Honda","5200 S Louise Ave","","R",""
"325693","Larry H. Miller Volkswagen Avondale","10205 W Papago Freeway","","R",""
"325849","Champion Chevrolet","800 Kietzke Ln","","R",""
"326386","Sunset Kia of Venice","1179 US Highway 41 Byp S","","R",""
"326445","Volvo of Edison","401 US Highway 1","","R",""
"326763","Lexus of Tucson at the Auto Mall","4670 N Circuit Road","","R",""
"326948","Ghent Chevrolet Cadillac","2715 35th Ave","","R",""
"327415","Butler Kia","4950 Crater Lake Ave","","R",""
"327475","Mercedes Benz of Naples","501 Airport Rd S","","R",""
"327688","Dick Edwards","7920 E US Highway 24","","R",""
"327807","Mercedes Benz of Lancaster","5100 Main St","","R",""
"328006","City Hyundai","3106 W. Tennessee ","","R",""
"328499","Nissan of Greenville","6403 IH 30","","R",""
"328764","George Gee Cadillac Kia","317 W Dalton Ave","","R",""
"328809","Euro Motor Cars Devon","214 Lancaster Ave","","R",""
"329132","Anderson Nissan ","3842 Highway 95","","R",""
"329249","Schworer Volkswagen","3301 Schworer Drive","","R",""
"329314","Superstition Springs Chrysler Dodge Jeep","6130 E Auto Park Drive","","R",""
"329360","Lindsay Volkswagen of Dulles","22455 Cedar Green Road","","R",""
"329425","Rhoden Kia of Lincoln","1145 N. 48th Street","","R",""
"329608","Central Kia of Lewisville","2920 N I35","","R",""
"329643","Butler Hyundai","5000 Crater Lake Hwy","","R",""
"329698","Hubbard Chevrolet","2937 G Street","","R",""
"329763","Green Lincoln Mazda","3760 South 6th Street","","R",""
"329771","Parks Chevrolet","11865 SW Highway 54","","R",""
"329806","Woodmen Nissan","6840 Vincent Dr.","","R",""
"329840","Larry H. Miller Subaru Boise","9380 W Fairview Ave","","R",""
"329841","Larry H Miller Lexus of Lindon","544 S. Lindon Park Drive","","R",""
"329890","Genesee Valley Ford","1675 Interstate Dr.","","R",""
"330020","Auto Town Buick GMC","19495 SE McLoughlin Blvd.","","R",""
"330072","Mercedes Benz of New Rochelle","77 East Main Street","","R",""
"330102","Silver Star Mercedes Benz","3905 Automall Drive","","R",""
"330169","Ed Morse Sawgrass Chevrolet","14401 West Sunrise Blvd","","R",""
"330196","Hendrick Lexus Kansas City","6935 W. Frontage Rd.","","R",""
"330290","Mike Ward Infiniti","1800 Lucent Court","","R",""
"330333","Dene Lambkin Hyundai","207 N. 36th Street","","R",""
"330387","Ray Catena of Union LLC","2585 Rte 22 West","","R",""
"330528","Jaguar Land Rover of Tucson","4670 - 2 N Circuit Road","","R",""
"400025","Al West Nissan","2540 Hwy. 63 North/Bishop","","R",""
"400190","Paul Blouin Performance","513 Western Ave","","R",""
"400192","Covert Buick","11750-C Research Blvd","","R",""
"400198","Team Mazda Subaru","6218 Cleveland Boulevard","","R",""
"400240","Thoroughbred Ford","1901 East Prairie View Road","","R",""
"400456","Findlay Post Falls","1665 East Edmonton Ave.","","R",""
"400483","Patriot Subaru","769 Portland Rd","","R",""
"400763","Select Eurocars, Inc.","0685 Waterloo-Geneva Road","","R",""
"401166","Prime Hyundai","788 Portland Rd ","","R",""
"401193","Toyota of Laredo","6324 Bob Bullock Loop","","R",""
"401350","Ramey Toyota Scion","135 Frazier Drive","","R",""
"401531","Platinum Volkswagen","340 West Old Country Road","","R",""
"401536","Centennial Buick GMC ","6501 Centennial Center Blvd","","R",""
"401682","Ritchey Cadillac Buick Pontiac GMC","932 North Nova Road","","R",""
"401773","Empire Hyundai","428 Pleasant Street","","R",""
"401919","Big Island Toyota Scion","811 Kanoelehua Avenue","","R",""
"402072","Foreign Cars Italia of Charlotte","416 Tyvola Road","","R",""
"402183","Ray Catena BMW","525 Tarrytown Rd","","R",""
"403199","Mercedes Benz of Encino","16721 Ventura Blvd","","R",""
"403434","Larry H Miller Used Car Supermarket Sandy","10990 South Automall Drive","","R",""
"403497","Modern Classic Motors Inc","975 Independent Ave","","R",""
"403536","Midway Automotive","411 Brockton Ave","","R",""
"403794","Prestige Motors Inc","2318 S. 1st St.","","R",""
"404108","Peak Kia North","1111 Southgate Dr ","","R",""
"404125","Larry H. Miller Chrysler Jeep Dodge Ram Riverdale","1481 West Riverdale Road","","R",""
"404158","Summit Chevrolet Buick GMC","318 Grant Avenue","","R",""
"404164","Bay Family of Fine Cars","615 W 15th Street","","R",""
"404181","Ray Catena Lexus of Freehold","4264 US Highway 9 South","","R",""
"404377","Vision Kia of Canandaigua","2552 Rochester Road-Rte 332","","R",""
"404786","Kolar Chevrolet Buick GMC","4770 West Arrowhead Road","","R",""
"405222","HM Brown Associates","6532 South Revere Pkwy","","R",""
"405285","Automall Collection","218 Andover St","","R",""
"405360","Lexus of Santa Fe","6824 Cerrillos Road","","R",""
"405416","Rick Case Kia","3190 Satellite Blvd","","R",""
"405465","Mini of Monmouth","2127 Route 35","","R",""
"405624","Jack Carroll's Skagit Hyundai","1313 Goldenrod Road","","R",""
"405645","Volkswagen of Huntington","838 East Jericho Turnpike","","R",""
"405662","Younker Mitsubishi","3820 E. Valley Hwy South","","R",""
"405736","Team Kia of Bend","611 N.E. Purcell","","R",""
"405884","Butler Acura","1899 Highway 99 N","","R",""
"406047","Cruz Auto Sales","2473 Garner Chapel Rd","","R",""
"406058","Bill Robertson Nissan","928 N. 28th St","","R",""
"406097","Nissan of Athens","4735B Atlanta Hwy","","R",""
"406098","Volkswagen of Athens","4735C Atlanta Hwy","","R",""
"406202","Larry H. Miller Used Car Supermarket Murray","5445 S State Street","","R",""
"406295","Automax Preowned Framingham","1199 Worcester Rd","","R",""
"406308","Great Bridge Auto Sales","343 N. Battlefield Blvd.","","R",""
"406328","Suss Superstore","945 Motor City Drive","","R",""
"406357","Jim Burke Super Pre Owned Center","1400 5th Ave.","","R",""
"406358","Automax Pre Owned Marlborough","400 Maple St","","R",""
"406673","Dick Smith Nissan of Columbia","9940 Two Notch Road","","R",""
"406770","Five Star Automotive","2199 David McLeod Blvd","","R",""
"406803","Thrifty Car Sales Spokane","8022 E Sprague","","R",""
"406846","FIAT of Tacoma","3740 South Tacoma Way","","R",""
"406903","Ed Morse Mazda Lakeland","1250 West Memorial Blvd.","","R",""
"406904","House Of Kars","9121 Antique Way","","R",""
"406940","Naples Nissan","3640 Pine Ridge Rd","","R",""
"407004","Future Nissan of Folsom","12610 Auto Mall Circle","","R",""
"407026","Lamborghini Carolinas","1310 West Wendover Avenue","","R",""
"407131","BMW of Murrieta","26825 Auto Mall Pkwy.","","R",""
"407268","Larry H Miller Chrysler Dodge Jeep Ram","13165 N. Autoshow Ave","","R",""
"407408","Volkswagen of Palm Springs","68080 Perez Rd","","R",""
"407501","Midwest KIA","8725 W Kellogg Ave","","R",""
"407556","Larry H. Miller Dodge Ram Tucson","4220 E. 22nd St. ","","R",""
"407559","Larry H. Miller Tucson Volkswagen","900 W. Auto Mall Dr.","","R",""
"407579","Kia of Jamestown","1700 Washington St","","R",""
"407950","Cadillac of Bellevue","430 116th Avenue Northeast","","R",""
"408007","MINI of Tucson","4635 E. 22nd Street","","R",""
"408008","Dick's Hillsboro Honda","750 SW Oak","","R",""
"408009","Dick’s Hillsboro Hyundai","2871 Southeast Tualatin Valley Highway","","R",""
"408016","Land Rover Palm Beach","7550 Okeechobee Blvd.","","R",""
"408064","Volkswagen of Weatherford","2951 Fort Worth Highway","","R",""
"408126","Eddy's Chrysler Dodge Jeep Ram","11028 W Kellogg Dr","","R",""
"408144","West Burlington Honda","501 W Agency Rd","","R",""
"408169","Jaguar Palm Beach","915 South Dixie Highway","","R",""
"408175","Volkswagen of Puyallup","820 River Road ","","R",""
"408176","Serra Mazda","1503 Gadsden Hwy","","R",""
"408188","Miami Acura ","16601 S. Dixie Highway","","R",""
"408238","Ray Catena Maserati of Monmouth","2133 Route 35","","R",""
"408240","Green Nissan","2505 Highway 2 East","","R",""
"408262","Vision Nissan of Canandaigua","2375 Rochester Road, Route 332","","R",""
"408267","John Sauder Chevrolet ","4161 Oregon Pike ","","R",""
"408278","Ramey Ford Princeton","498 Courthouse Rd","","R",""
"408286","Five Star Nissan of Florence","2185 W Evans St","","R",""
"408293","Dave Warren Chrysler Dodge Jeep Ram ","1001 Washington Street ","","R",""
"408309","Team Hyundai of Bend","2250 NE Highway 20","","R",""
"408313","Rimrock Chevrolet","202 SE 4th Street","","R",""
"408324","Bob Hart Chevrolet Vinita","495 S 7th St","","R",""
"408325","Route 9 Auto Sales ","1221 Worcester Rd","","R",""
"408334","Volvo of North Miami","19275 NW 2nd Ave","","R",""
"408341","Mercedes Benz of Fayetteville","3203 Bragg Blvd","","R",""
"408344","Imperio Nissan of San Juan Capistrano","33633 Camino Capistrano","","R",""
